path,model,iou,iou_pc1,smooth,artifact,clutter,fg_ratio
001.Black_footed_Albatross/Black_Footed_Albatross_0002_55.jpg,dinov2,0.6216216216216216,0.6357388316151202,0.831200897693634,0.01171875,0.041138503700494766,0.18654336734693877
001.Black_footed_Albatross/Black_Footed_Albatross_0086_796062.jpg,dinov2,0.4269230769230769,0.16040462427745664,0.8479126691818237,0.0126953125,0.009011308662593365,0.10534917091836735
001.Black_footed_Albatross/Black_Footed_Albatross_0008_796083.jpg,dinov2,0.4657534246575342,0.4063745019920319,0.8446489572525024,0.0107421875,0.002583378227427602,0.10024713010204081
001.Black_footed_Albatross/Black_Footed_Albatross_0024_796089.jpg,dinov2,0.5573122529644269,0.32413793103448274,0.8559417128562927,0.0185546875,0.006464878097176552,0.13721699617346939
001.Black_footed_Albatross/Black_Footed_Albatross_0005_796090.jpg,dinov2,0.564625850340136,0.40096618357487923,0.8093554973602295,0.015625,0.021120190620422363,0.1564094387755102
001.Black_footed_Albatross/Black_Footed_Albatross_0058_796074.jpg,dinov2,0.45989304812834225,0.3208955223880597,0.8452966213226318,0.0107421875,0.04938432574272156,0.08836894132653061
002.Laysan_Albatross/Laysan_Albatross_0002_1027.jpg,dinov2,0.19696969696969696,0.0,0.8432294130325317,0.0009765625,0.04206907004117966,0.040915975765306124
002.Laysan_Albatross/Laysan_Albatross_0053_543.jpg,dinov2,0.20809248554913296,0.1651376146788991,0.8368868231773376,0.0,0.0029702656902372837,0.03985969387755102
002.Laysan_Albatross/Laysan_Albatross_0102_611.jpg,dinov2,0.4645390070921986,0.3628808864265928,0.8598343133926392,0.009765625,0.004299789201468229,0.12484056122448979
002.Laysan_Albatross/Laysan_Albatross_0098_621.jpg,dinov2,0.7074074074074074,0.7431906614785992,0.7408134937286377,0.009765625,0.036831844598054886,0.18656329719387754
002.Laysan_Albatross/Laysan_Albatross_0104_630.jpg,dinov2,0.10152284263959391,0.0,0.8622026443481445,0.0,0.03626326099038124,0.020647321428571428
002.Laysan_Albatross/Laysan_Albatross_0064_674.jpg,dinov2,0.7622950819672131,0.7982832618025751,0.7921367883682251,0.0009765625,0.015733379870653152,0.1747448979591837
003.Sooty_Albatross/Sooty_Albatross_0033_1128.jpg,dinov2,0.5833333333333334,0.3233256351039261,0.8345018625259399,0.013671875,0.00921783596277237,0.13488520408163265
003.Sooty_Albatross/Sooty_Albatross_0048_1130.jpg,dinov2,0.4228855721393035,0.21518987341772153,0.8506603240966797,0.0244140625,0.0036230338737368584,0.08013791454081633
003.Sooty_Albatross/Sooty_Albatross_0050_796351.jpg,dinov2,0.3020408163265306,0.0,0.7824171185493469,0.0068359375,0.023162351921200752,0.1522640306122449
004.Groove_billed_Ani/Groove_Billed_Ani_0109_1592.jpg,dinov2,0.7727272727272727,0.8125,0.7191104888916016,0.0009765625,0.08028843998908997,0.18022560586734693
004.Groove_billed_Ani/Groove_Billed_Ani_0029_1620.jpg,dinov2,0.5379310344827586,0.011166253101736972,0.6873253583908081,0.0,0.06949032098054886,0.08229033801020408
004.Groove_billed_Ani/Groove_Billed_Ani_0087_1765.jpg,dinov2,0.4594594594594595,0.24355300859598855,0.7851395010948181,0.0029296875,0.056342676281929016,0.08641581632653061
005.Crested_Auklet/Crested_Auklet_0021_794938.jpg,dinov2,0.8285714285714286,0.8241469816272966,0.7936623096466064,0.0009765625,0.05064952000975609,0.3253148915816326
005.Crested_Auklet/Crested_Auklet_0074_794949.jpg,dinov2,0.6725352112676056,0.30269413629160064,0.7975172996520996,0.0078125,0.03938673809170723,0.18805803571428573
005.Crested_Auklet/Crested_Auklet_0036_794905.jpg,dinov2,0.8516746411483254,0.885286783042394,0.8055170774459839,0.0,0.03398905321955681,0.34225526147959184
006.Least_Auklet/Least_Auklet_0039_795081.jpg,dinov2,0.7249190938511327,0.7567567567567568,0.8075355291366577,0.0009765625,0.014911738224327564,0.2352917729591837
006.Least_Auklet/Least_Auklet_0055_795106.jpg,dinov2,0.7843137254901961,0.45131086142322097,0.8059321641921997,0.005859375,0.03190094232559204,0.23768335459183673
006.Least_Auklet/Least_Auklet_0041_795107.jpg,dinov2,0.7169811320754716,0.0017699115044247787,0.7960522174835205,0.0078125,0.03614511713385582,0.18291613520408162
006.Least_Auklet/Least_Auklet_0023_1898.jpg,dinov2,0.6716981132075471,0.6793893129770993,0.8101069927215576,0.0107421875,0.015974629670381546,0.1783721301020408
006.Least_Auklet/Least_Auklet_0005_795119.jpg,dinov2,0.7162162162162162,0.44166666666666665,0.7971422076225281,0.0009765625,0.03792620450258255,0.1566485969387755
007.Parakeet_Auklet/Parakeet_Auklet_0017_795924.jpg,dinov2,0.8439716312056738,0.8464285714285714,0.8202259540557861,0.013671875,0.023679368197917938,0.23427535076530612
007.Parakeet_Auklet/Parakeet_Auklet_0072_795929.jpg,dinov2,0.6047904191616766,0.15202702702702703,0.8088442087173462,0.0087890625,0.025753457099199295,0.09903140943877552
007.Parakeet_Auklet/Parakeet_Auklet_0064_795954.jpg,dinov2,0.7590361445783133,0.7682926829268293,0.8083794116973877,0.0068359375,0.023599840700626373,0.18730070153061223
007.Parakeet_Auklet/Parakeet_Auklet_0026_795962.jpg,dinov2,0.8428571428571429,0.8613138686131386,0.8084975481033325,0.0126953125,0.040430448949337006,0.23188376913265307
007.Parakeet_Auklet/Parakeet_Auklet_0067_795964.jpg,dinov2,0.4808743169398907,0.19686800894854586,0.8466755747795105,0.05078125,0.030005818232893944,0.09064094387755102
007.Parakeet_Auklet/Parakeet_Auklet_0016_795977.jpg,dinov2,0.782608695652174,0.0017889087656529517,0.8170270919799805,0.0,0.03240935876965523,0.20707110969387754
008.Rhinoceros_Auklet/Rhinoceros_Auklet_0044_797502.jpg,dinov2,0.707774798927614,0.717391304347826,0.8438311815261841,0.001953125,0.040118612349033356,0.2625757334183674
009.Brewer_Blackbird/Brewer_Blackbird_0054_2631.jpg,dinov2,0.5531914893617021,0.0,0.7820510864257812,0.001953125,0.07021261751651764,0.08412388392857142
