/opt/anaconda3/envs/fal-wyh/lib/python3.9/site-packages/torchvision/transforms/transforms.py:329: UserWarning: Argument 'interpolation' of type int is deprecated since 0.13 and will be removed in 0.15. Please use InterpolationMode enum.
  warnings.warn(
09/17/2026 06:49:30 - INFO - models.modeling - load_pretrained: resized variant: torch.Size([1, 197, 768]) to torch.Size([1, 785, 768])
09/17/2026 06:49:33 - INFO - timm.models._builder - Loading pretrained weights from Hugging Face hub (timm/vit_base_patch16_dinov3.lvd1689m)
09/17/2026 07:22:09 - INFO - __main__ - Training (3800 / 10000 Steps) (loss=0.2815) lr=2.19e-02 1954s
09/17/2026 07:22:34 - INFO - __main__ - Training (3900 / 10000 Steps) (loss=0.7133) lr=2.15e-02 1979s
09/17/2026 07:22:59 - INFO - __main__ - Training (4000 / 10000 Steps) (loss=0.5242) lr=2.10e-02 2004s
09/17/2026 07:28:33 - INFO - __main__ - Validation Results step 4000: Accuracy 0.81813 (best 0.81813)
09/17/2026 07:28:58 - INFO - __main__ - Training (4100 / 10000 Steps) (loss=0.6862) lr=2.06e-02 2364s
09/17/2026 07:29:23 - INFO - __main__ - Training (4200 / 10000 Steps) (loss=0.2156) lr=2.01e-02 2389s
09/17/2026 07:29:48 - INFO - __main__ - Training (4300 / 10000 Steps) (loss=0.5404) lr=1.96e-02 2413s
09/17/2026 07:30:13 - INFO - __main__ - Training (4400 / 10000 Steps) (loss=0.7368) lr=1.92e-02 2438s
09/17/2026 07:30:39 - INFO - __main__ - Training (4500 / 10000 Steps) (loss=0.1571) lr=1.87e-02 2464s
09/17/2026 07:31:03 - INFO - __main__ - Training (4600 / 10000 Steps) (loss=0.7249) lr=1.82e-02 2489s
09/17/2026 07:31:28 - INFO - __main__ - Training (4700 / 10000 Steps) (loss=0.5144) lr=1.77e-02 2514s
09/17/2026 07:31:53 - INFO - __main__ - Training (4800 / 10000 Steps) (loss=0.2991) lr=1.72e-02 2538s
09/17/2026 07:32:18 - INFO - __main__ - Training (4900 / 10000 Steps) (loss=0.4237) lr=1.67e-02 2563s
09/17/2026 07:32:43 - INFO - __main__ - Training (5000 / 10000 Steps) (loss=0.2194) lr=1.62e-02 2588s
09/17/2026 07:38:17 - INFO - __main__ - Validation Results step 5000: Accuracy 0.83214 (best 0.83214)
09/17/2026 07:38:43 - INFO - __main__ - Training (5100 / 10000 Steps) (loss=0.6001) lr=1.57e-02 2948s
09/17/2026 07:39:07 - INFO - __main__ - Training (5200 / 10000 Steps) (loss=0.4812) lr=1.52e-02 2973s
09/17/2026 07:39:33 - INFO - __main__ - Training (5300 / 10000 Steps) (loss=0.4463) lr=1.48e-02 2998s
09/17/2026 07:39:57 - INFO - __main__ - Training (5400 / 10000 Steps) (loss=0.3659) lr=1.43e-02 3023s
09/17/2026 07:40:22 - INFO - __main__ - Training (5500 / 10000 Steps) (loss=0.4504) lr=1.38e-02 3048s
09/17/2026 07:40:47 - INFO - __main__ - Training (5600 / 10000 Steps) (loss=0.5046) lr=1.33e-02 3072s
09/17/2026 07:41:12 - INFO - __main__ - Training (5700 / 10000 Steps) (loss=0.3167) lr=1.28e-02 3097s
09/17/2026 07:41:37 - INFO - __main__ - Training (5800 / 10000 Steps) (loss=0.5503) lr=1.23e-02 3122s
09/17/2026 07:42:02 - INFO - __main__ - Training (5900 / 10000 Steps) (loss=0.2330) lr=1.18e-02 3147s
09/17/2026 07:42:27 - INFO - __main__ - Training (6000 / 10000 Steps) (loss=0.1015) lr=1.13e-02 3173s
09/17/2026 07:48:02 - INFO - __main__ - Validation Results step 6000: Accuracy 0.84708 (best 0.84708)
