/opt/anaconda3/envs/fal-wyh/lib/python3.9/site-packages/torchvision/transforms/transforms.py:329: UserWarning: Argument 'interpolation' of type int is deprecated since 0.13 and will be removed in 0.15. Please use InterpolationMode enum.
  warnings.warn(
09/17/2026 03:55:39 - INFO - models.modeling - load_pretrained: resized variant: torch.Size([1, 197, 768]) to torch.Size([1, 3137, 768])
09/17/2026 03:55:43 - INFO - timm.models._builder - Loading pretrained weights from Hugging Face hub (timm/vit_base_patch16_dinov3.lvd1689m)
09/17/2026 04:55:09 - INFO - __main__ - Training (3800 / 10000 Steps) (loss=0.2414) lr=2.19e-02 3564s
09/17/2026 04:56:03 - INFO - __main__ - Training (3900 / 10000 Steps) (loss=0.3501) lr=2.15e-02 3619s
09/17/2026 04:56:57 - INFO - __main__ - Training (4000 / 10000 Steps) (loss=0.1518) lr=2.10e-02 3673s
09/17/2026 05:05:16 - INFO - __main__ - Validation Results step 4000: Accuracy 0.86295 (best 0.86295)
09/17/2026 05:06:10 - INFO - __main__ - Training (4100 / 10000 Steps) (loss=0.2521) lr=2.06e-02 4226s
09/17/2026 05:07:04 - INFO - __main__ - Training (4200 / 10000 Steps) (loss=0.1667) lr=2.01e-02 4280s
09/17/2026 05:07:59 - INFO - __main__ - Training (4300 / 10000 Steps) (loss=0.0826) lr=1.96e-02 4334s
09/17/2026 05:08:53 - INFO - __main__ - Training (4400 / 10000 Steps) (loss=0.6362) lr=1.92e-02 4388s
09/17/2026 05:09:48 - INFO - __main__ - Training (4500 / 10000 Steps) (loss=0.4224) lr=1.87e-02 4443s
09/17/2026 05:10:42 - INFO - __main__ - Training (4600 / 10000 Steps) (loss=1.2068) lr=1.82e-02 4498s
09/17/2026 05:11:36 - INFO - __main__ - Training (4700 / 10000 Steps) (loss=0.2253) lr=1.77e-02 4552s
09/17/2026 05:12:30 - INFO - __main__ - Training (4800 / 10000 Steps) (loss=0.3517) lr=1.72e-02 4606s
09/17/2026 05:13:25 - INFO - __main__ - Training (4900 / 10000 Steps) (loss=0.0324) lr=1.67e-02 4660s
09/17/2026 05:14:19 - INFO - __main__ - Training (5000 / 10000 Steps) (loss=0.3002) lr=1.62e-02 4714s
09/17/2026 05:22:37 - INFO - __main__ - Validation Results step 5000: Accuracy 0.87310 (best 0.87310)
09/17/2026 05:23:32 - INFO - __main__ - Training (5100 / 10000 Steps) (loss=0.0769) lr=1.57e-02 5267s
09/17/2026 05:24:26 - INFO - __main__ - Training (5200 / 10000 Steps) (loss=0.1249) lr=1.52e-02 5322s
09/17/2026 05:25:20 - INFO - __main__ - Training (5300 / 10000 Steps) (loss=0.9475) lr=1.48e-02 5376s
09/17/2026 05:26:14 - INFO - __main__ - Training (5400 / 10000 Steps) (loss=0.1161) lr=1.43e-02 5430s
09/17/2026 05:27:09 - INFO - __main__ - Training (5500 / 10000 Steps) (loss=0.0682) lr=1.38e-02 5484s
09/17/2026 05:28:03 - INFO - __main__ - Training (5600 / 10000 Steps) (loss=0.2109) lr=1.33e-02 5538s
09/17/2026 05:28:57 - INFO - __main__ - Training (5700 / 10000 Steps) (loss=0.0744) lr=1.28e-02 5593s
09/17/2026 05:29:51 - INFO - __main__ - Training (5800 / 10000 Steps) (loss=0.1127) lr=1.23e-02 5647s
09/17/2026 05:30:46 - INFO - __main__ - Training (5900 / 10000 Steps) (loss=0.1469) lr=1.18e-02 5701s
09/17/2026 05:31:41 - INFO - __main__ - Training (6000 / 10000 Steps) (loss=0.0671) lr=1.13e-02 5756s
09/17/2026 05:39:59 - INFO - __main__ - Validation Results step 6000: Accuracy 0.88601 (best 0.88601)
09/17/2026 05:40:53 - INFO - __main__ - Training (6100 / 10000 Steps) (loss=0.0669) lr=1.08e-02 6308s
09/17/2026 05:41:47 - INFO - __main__ - Training (6200 / 10000 Steps) (loss=0.0079) lr=1.04e-02 6363s
09/17/2026 05:42:41 - INFO - __main__ - Training (6300 / 10000 Steps) (loss=0.0145) lr=9.90e-03 6417s
09/17/2026 05:43:36 - INFO - __main__ - Training (6400 / 10000 Steps) (loss=0.0502) lr=9.43e-03 6471s
09/17/2026 05:44:30 - INFO - __main__ - Training (6500 / 10000 Steps) (loss=0.0052) lr=8.97e-03 6525s
09/17/2026 05:45:24 - INFO - __main__ - Training (6600 / 10000 Steps) (loss=0.0998) lr=8.52e-03 6579s
09/17/2026 05:46:18 - INFO - __main__ - Training (6700 / 10000 Steps) (loss=0.1502) lr=8.08e-03 6634s
09/17/2026 05:47:12 - INFO - __main__ - Training (6800 / 10000 Steps) (loss=0.0070) lr=7.64e-03 6688s
09/17/2026 05:48:06 - INFO - __main__ - Training (6900 / 10000 Steps) (loss=0.0076) lr=7.22e-03 6742s
09/17/2026 05:49:01 - INFO - __main__ - Training (7000 / 10000 Steps) (loss=0.0264) lr=6.80e-03 6796s
09/17/2026 05:57:19 - INFO - __main__ - Validation Results step 7000: Accuracy 0.89672 (best 0.89672)
09/17/2026 05:58:14 - INFO - __main__ - Training (7100 / 10000 Steps) (loss=0.0202) lr=6.39e-03 7349s
09/17/2026 05:59:08 - INFO - __main__ - Training (7200 / 10000 Steps) (loss=0.0851) lr=5.98e-03 7403s
09/17/2026 06:00:02 - INFO - __main__ - Training (7300 / 10000 Steps) (loss=0.0792) lr=5.59e-03 7458s
09/17/2026 06:00:56 - INFO - __main__ - Training (7400 / 10000 Steps) (loss=0.1567) lr=5.21e-03 7512s
09/17/2026 06:01:51 - INFO - __main__ - Training (7500 / 10000 Steps) (loss=0.2210) lr=4.84e-03 7567s
09/17/2026 06:02:45 - INFO - __main__ - Training (7600 / 10000 Steps) (loss=0.0249) lr=4.48e-03 7621s
09/17/2026 06:03:40 - INFO - __main__ - Training (7700 / 10000 Steps) (loss=0.0222) lr=4.13e-03 7675s
09/17/2026 06:04:34 - INFO - __main__ - Training (7800 / 10000 Steps) (loss=0.0146) lr=3.80e-03 7729s
09/17/2026 06:05:28 - INFO - __main__ - Training (7900 / 10000 Steps) (loss=0.0732) lr=3.47e-03 7784s
09/17/2026 06:06:22 - INFO - __main__ - Training (8000 / 10000 Steps) (loss=0.1657) lr=3.16e-03 7838s
09/17/2026 06:14:41 - INFO - __main__ - Validation Results step 8000: Accuracy 0.90151 (best 0.90151)
09/17/2026 06:15:35 - INFO - __main__ - Training (8100 / 10000 Steps) (loss=0.0387) lr=2.86e-03 8391s
09/17/2026 06:16:29 - INFO - __main__ - Training (8200 / 10000 Steps) (loss=0.0155) lr=2.58e-03 8445s
09/17/2026 06:17:24 - INFO - __main__ - Training (8300 / 10000 Steps) (loss=0.0221) lr=2.31e-03 8499s
09/17/2026 06:18:18 - INFO - __main__ - Training (8400 / 10000 Steps) (loss=0.0063) lr=2.05e-03 8553s
09/17/2026 06:19:12 - INFO - __main__ - Training (8500 / 10000 Steps) (loss=0.0296) lr=1.81e-03 8608s
09/17/2026 06:20:06 - INFO - __main__ - Training (8600 / 10000 Steps) (loss=0.0248) lr=1.58e-03 8662s
09/17/2026 06:21:01 - INFO - __main__ - Training (8700 / 10000 Steps) (loss=0.1131) lr=1.36e-03 8716s
09/17/2026 06:21:55 - INFO - __main__ - Training (8800 / 10000 Steps) (loss=0.0117) lr=1.17e-03 8770s
09/17/2026 06:22:49 - INFO - __main__ - Training (8900 / 10000 Steps) (loss=0.0082) lr=9.82e-04 8825s
09/17/2026 06:23:44 - INFO - __main__ - Training (9000 / 10000 Steps) (loss=0.0345) lr=8.13e-04 8880s
09/17/2026 06:32:03 - INFO - __main__ - Validation Results step 9000: Accuracy 0.90472 (best 0.90472)
09/17/2026 06:32:58 - INFO - __main__ - Training (9100 / 10000 Steps) (loss=0.0353) lr=6.59e-04 9433s
09/17/2026 06:33:52 - INFO - __main__ - Training (9200 / 10000 Steps) (loss=0.0049) lr=5.22e-04 9487s
09/17/2026 06:34:46 - INFO - __main__ - Training (9300 / 10000 Steps) (loss=0.0128) lr=4.00e-04 9541s
09/17/2026 06:35:40 - INFO - __main__ - Training (9400 / 10000 Steps) (loss=0.0159) lr=2.94e-04 9596s
09/17/2026 06:36:34 - INFO - __main__ - Training (9500 / 10000 Steps) (loss=0.0151) lr=2.05e-04 9650s
09/17/2026 06:37:29 - INFO - __main__ - Training (9600 / 10000 Steps) (loss=0.0494) lr=1.31e-04 9704s
09/17/2026 06:38:23 - INFO - __main__ - Training (9700 / 10000 Steps) (loss=0.0215) lr=7.38e-05 9758s
09/17/2026 06:39:17 - INFO - __main__ - Training (9800 / 10000 Steps) (loss=0.2142) lr=3.28e-05 9813s
09/17/2026 06:40:11 - INFO - __main__ - Training (9900 / 10000 Steps) (loss=0.1777) lr=8.20e-06 9867s
09/17/2026 06:41:05 - INFO - __main__ - Training (10000 / 10000 Steps) (loss=0.1818) lr=0.00e+00 9921s
09/17/2026 06:49:23 - INFO - __main__ - Validation Results step 10000: Accuracy 0.90513 (best 0.90513)
09/17/2026 06:49:23 - INFO - __main__ - Best Accuracy: 	0.905127
09/17/2026 06:49:23 - INFO - __main__ - End Training!
