/opt/anaconda3/envs/fal-wyh/lib/python3.9/site-packages/torchvision/transforms/transforms.py:329: UserWarning: Argument 'interpolation' of type int is deprecated since 0.13 and will be removed in 0.15. Please use InterpolationMode enum.
  warnings.warn(
09/17/2026 01:47:41 - INFO - models.modeling - load_pretrained: resized variant: torch.Size([1, 197, 768]) to torch.Size([1, 785, 768])
09/17/2026 01:47:44 - INFO - timm.models._builder - Loading pretrained weights from Hugging Face hub (timm/vit_base_patch16_dinov3.lvd1689m)
09/17/2026 01:47:45 - INFO - httpx - HTTP Request: HEAD https://hf-mirror.com/timm/vit_base_patch16_dinov3.lvd1689m/resolve/main/model.safetensors "HTTP/1.1 302 Found"
09/17/2026 01:47:45 - INFO - timm.models._hub - [timm/vit_base_patch16_dinov3.lvd1689m] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.
09/17/2026 01:47:46 - INFO - __main__ - Training parameters Namespace(data_root='/home/savo_shen/data_crops/nabirds/raw', name='nabirds_tok25', output_dir='output', pretrained='/home/savo_shen/Programs/FAL-ViT-main-wyh/imagenet21k_ViT-B_16.npz', img_size=448, select='dinov3', keep=0.25, sel_img=448, train_batch_size=16, grad_accum=1, eval_batch_size=64, learning_rate=0.03, weight_decay=0.0, num_steps=10000, warmup_steps=500, eval_every=1000, max_grad_norm=1.0, num_workers=8, seed=42)
09/17/2026 01:47:46 - INFO - __main__ - classes=555 train=23929 test=24633  tokens kept 196 / 784
load_pretrained: grid-size from 14 to 28
09/17/2026 01:48:17 - INFO - __main__ - Training (100 / 10000 Steps) (loss=6.2656) lr=6.00e-03 31s
09/17/2026 01:48:44 - INFO - __main__ - Training (200 / 10000 Steps) (loss=6.1406) lr=1.20e-02 58s
09/17/2026 01:49:12 - INFO - __main__ - Training (300 / 10000 Steps) (loss=5.7588) lr=1.80e-02 85s
09/17/2026 01:49:39 - INFO - __main__ - Training (400 / 10000 Steps) (loss=4.7948) lr=2.40e-02 113s
09/17/2026 01:50:07 - INFO - __main__ - Training (500 / 10000 Steps) (loss=3.6388) lr=3.00e-02 141s
09/17/2026 01:50:34 - INFO - __main__ - Training (600 / 10000 Steps) (loss=3.2016) lr=3.00e-02 168s
09/17/2026 01:51:02 - INFO - __main__ - Training (700 / 10000 Steps) (loss=2.6161) lr=3.00e-02 196s
