/opt/anaconda3/envs/fal-wyh/lib/python3.9/site-packages/torchvision/transforms/transforms.py:329: UserWarning: Argument 'interpolation' of type int is deprecated since 0.13 and will be removed in 0.15. Please use InterpolationMode enum.
  warnings.warn(
09/16/2026 23:56:24 - INFO - models.modeling - load_pretrained: resized variant: torch.Size([1, 197, 768]) to torch.Size([1, 3137, 768])
09/16/2026 23:56:27 - INFO - timm.models._builder - Loading pretrained weights from Hugging Face hub (timm/vit_base_patch16_dinov3.lvd1689m)
09/17/2026 00:37:11 - INFO - __main__ - Training (3800 / 10000 Steps) (loss=0.0350) lr=2.19e-02 2441s
09/17/2026 00:38:05 - INFO - __main__ - Training (3900 / 10000 Steps) (loss=0.0346) lr=2.15e-02 2496s
09/17/2026 00:38:59 - INFO - __main__ - Training (4000 / 10000 Steps) (loss=0.0013) lr=2.10e-02 2550s
09/17/2026 00:41:01 - INFO - __main__ - Validation Results step 4000: Accuracy 0.88747 (best 0.88747)
09/17/2026 00:41:55 - INFO - __main__ - Training (4100 / 10000 Steps) (loss=0.0029) lr=2.06e-02 2726s
09/17/2026 00:42:50 - INFO - __main__ - Training (4200 / 10000 Steps) (loss=0.0575) lr=2.01e-02 2781s
09/17/2026 00:43:45 - INFO - __main__ - Training (4300 / 10000 Steps) (loss=0.0069) lr=1.96e-02 2835s
09/17/2026 00:44:39 - INFO - __main__ - Training (4400 / 10000 Steps) (loss=0.0029) lr=1.92e-02 2890s
09/17/2026 00:45:35 - INFO - __main__ - Training (4500 / 10000 Steps) (loss=0.0150) lr=1.87e-02 2945s
09/17/2026 00:46:29 - INFO - __main__ - Training (4600 / 10000 Steps) (loss=0.0009) lr=1.82e-02 3000s
09/17/2026 00:47:23 - INFO - __main__ - Training (4700 / 10000 Steps) (loss=0.0033) lr=1.77e-02 3054s
09/17/2026 00:48:17 - INFO - __main__ - Training (4800 / 10000 Steps) (loss=0.0039) lr=1.72e-02 3108s
09/17/2026 00:49:12 - INFO - __main__ - Training (4900 / 10000 Steps) (loss=0.0034) lr=1.67e-02 3163s
09/17/2026 00:50:07 - INFO - __main__ - Training (5000 / 10000 Steps) (loss=0.0066) lr=1.62e-02 3217s
09/17/2026 00:52:07 - INFO - __main__ - Validation Results step 5000: Accuracy 0.89800 (best 0.89800)
09/17/2026 00:53:01 - INFO - __main__ - Training (5100 / 10000 Steps) (loss=0.0039) lr=1.57e-02 3392s
09/17/2026 00:53:55 - INFO - __main__ - Training (5200 / 10000 Steps) (loss=0.0034) lr=1.52e-02 3446s
09/17/2026 00:54:51 - INFO - __main__ - Training (5300 / 10000 Steps) (loss=0.0111) lr=1.48e-02 3501s
09/17/2026 00:55:45 - INFO - __main__ - Training (5400 / 10000 Steps) (loss=0.0025) lr=1.43e-02 3556s
09/17/2026 00:56:39 - INFO - __main__ - Training (5500 / 10000 Steps) (loss=0.0015) lr=1.38e-02 3610s
09/17/2026 00:57:33 - INFO - __main__ - Training (5600 / 10000 Steps) (loss=0.0015) lr=1.33e-02 3664s
09/17/2026 00:58:29 - INFO - __main__ - Training (5700 / 10000 Steps) (loss=0.0007) lr=1.28e-02 3719s
09/17/2026 00:59:23 - INFO - __main__ - Training (5800 / 10000 Steps) (loss=0.0011) lr=1.23e-02 3774s
09/17/2026 01:00:17 - INFO - __main__ - Training (5900 / 10000 Steps) (loss=0.0008) lr=1.18e-02 3828s
09/17/2026 01:01:13 - INFO - __main__ - Training (6000 / 10000 Steps) (loss=0.0009) lr=1.13e-02 3884s
09/17/2026 01:03:14 - INFO - __main__ - Validation Results step 6000: Accuracy 0.90266 (best 0.90266)
09/17/2026 01:04:08 - INFO - __main__ - Training (6100 / 10000 Steps) (loss=0.0031) lr=1.08e-02 4059s
09/17/2026 01:05:02 - INFO - __main__ - Training (6200 / 10000 Steps) (loss=0.0023) lr=1.04e-02 4113s
09/17/2026 01:05:56 - INFO - __main__ - Training (6300 / 10000 Steps) (loss=0.0007) lr=9.90e-03 4167s
09/17/2026 01:06:52 - INFO - __main__ - Training (6400 / 10000 Steps) (loss=0.0009) lr=9.43e-03 4223s
09/17/2026 01:07:46 - INFO - __main__ - Training (6500 / 10000 Steps) (loss=0.0008) lr=8.97e-03 4277s
09/17/2026 01:08:40 - INFO - __main__ - Training (6600 / 10000 Steps) (loss=0.0008) lr=8.52e-03 4331s
09/17/2026 01:09:35 - INFO - __main__ - Training (6700 / 10000 Steps) (loss=0.0008) lr=8.08e-03 4385s
09/17/2026 01:10:30 - INFO - __main__ - Training (6800 / 10000 Steps) (loss=0.0062) lr=7.64e-03 4441s
09/17/2026 01:11:24 - INFO - __main__ - Training (6900 / 10000 Steps) (loss=0.0018) lr=7.22e-03 4495s
09/17/2026 01:12:19 - INFO - __main__ - Training (7000 / 10000 Steps) (loss=0.0008) lr=6.80e-03 4549s
09/17/2026 01:14:18 - INFO - __main__ - Validation Results step 7000: Accuracy 0.90076 (best 0.90266)
09/17/2026 01:15:12 - INFO - __main__ - Training (7100 / 10000 Steps) (loss=0.0011) lr=6.39e-03 4722s
09/17/2026 01:16:08 - INFO - __main__ - Training (7200 / 10000 Steps) (loss=0.0004) lr=5.98e-03 4778s
09/17/2026 01:17:02 - INFO - __main__ - Training (7300 / 10000 Steps) (loss=0.0007) lr=5.59e-03 4832s
09/17/2026 01:17:56 - INFO - __main__ - Training (7400 / 10000 Steps) (loss=0.0008) lr=5.21e-03 4887s
09/17/2026 01:18:51 - INFO - __main__ - Training (7500 / 10000 Steps) (loss=0.0003) lr=4.84e-03 4942s
09/17/2026 01:19:46 - INFO - __main__ - Training (7600 / 10000 Steps) (loss=0.0006) lr=4.48e-03 4996s
09/17/2026 01:20:40 - INFO - __main__ - Training (7700 / 10000 Steps) (loss=0.0022) lr=4.13e-03 5050s
09/17/2026 01:21:34 - INFO - __main__ - Training (7800 / 10000 Steps) (loss=0.0018) lr=3.80e-03 5105s
09/17/2026 01:22:30 - INFO - __main__ - Training (7900 / 10000 Steps) (loss=0.0011) lr=3.47e-03 5160s
09/17/2026 01:23:24 - INFO - __main__ - Training (8000 / 10000 Steps) (loss=0.0009) lr=3.16e-03 5215s
09/17/2026 01:25:24 - INFO - __main__ - Validation Results step 8000: Accuracy 0.89886 (best 0.90266)
09/17/2026 01:26:19 - INFO - __main__ - Training (8100 / 10000 Steps) (loss=0.0009) lr=2.86e-03 5389s
09/17/2026 01:27:13 - INFO - __main__ - Training (8200 / 10000 Steps) (loss=0.0007) lr=2.58e-03 5444s
09/17/2026 01:28:09 - INFO - __main__ - Training (8300 / 10000 Steps) (loss=0.0421) lr=2.31e-03 5499s
09/17/2026 01:29:03 - INFO - __main__ - Training (8400 / 10000 Steps) (loss=0.0010) lr=2.05e-03 5554s
09/17/2026 01:29:57 - INFO - __main__ - Training (8500 / 10000 Steps) (loss=0.0007) lr=1.81e-03 5608s
09/17/2026 01:30:52 - INFO - __main__ - Training (8600 / 10000 Steps) (loss=0.0010) lr=1.58e-03 5662s
09/17/2026 01:31:47 - INFO - __main__ - Training (8700 / 10000 Steps) (loss=0.0009) lr=1.36e-03 5718s
09/17/2026 01:32:41 - INFO - __main__ - Training (8800 / 10000 Steps) (loss=0.0015) lr=1.17e-03 5772s
09/17/2026 01:33:36 - INFO - __main__ - Training (8900 / 10000 Steps) (loss=0.0006) lr=9.82e-04 5826s
09/17/2026 01:34:31 - INFO - __main__ - Training (9000 / 10000 Steps) (loss=0.0008) lr=8.13e-04 5882s
09/17/2026 01:36:31 - INFO - __main__ - Validation Results step 9000: Accuracy 0.89972 (best 0.90266)
09/17/2026 01:37:25 - INFO - __main__ - Training (9100 / 10000 Steps) (loss=0.0013) lr=6.59e-04 6056s
09/17/2026 01:38:20 - INFO - __main__ - Training (9200 / 10000 Steps) (loss=0.0007) lr=5.22e-04 6110s
09/17/2026 01:39:14 - INFO - __main__ - Training (9300 / 10000 Steps) (loss=0.0006) lr=4.00e-04 6165s
09/17/2026 01:40:10 - INFO - __main__ - Training (9400 / 10000 Steps) (loss=0.0016) lr=2.94e-04 6220s
09/17/2026 01:41:04 - INFO - __main__ - Training (9500 / 10000 Steps) (loss=0.0006) lr=2.05e-04 6274s
09/17/2026 01:41:58 - INFO - __main__ - Training (9600 / 10000 Steps) (loss=0.0005) lr=1.31e-04 6329s
09/17/2026 01:42:52 - INFO - __main__ - Training (9700 / 10000 Steps) (loss=0.0009) lr=7.38e-05 6383s
09/17/2026 01:43:48 - INFO - __main__ - Training (9800 / 10000 Steps) (loss=0.0080) lr=3.28e-05 6439s
09/17/2026 01:44:42 - INFO - __main__ - Training (9900 / 10000 Steps) (loss=0.0007) lr=8.20e-06 6493s
09/17/2026 01:45:37 - INFO - __main__ - Training (10000 / 10000 Steps) (loss=0.0013) lr=0.00e+00 6547s
09/17/2026 01:47:36 - INFO - __main__ - Validation Results step 10000: Accuracy 0.89921 (best 0.90266)
09/17/2026 01:47:36 - INFO - __main__ - Best Accuracy: 	0.902658
09/17/2026 01:47:36 - INFO - __main__ - End Training!
