/opt/anaconda3/envs/fal-wyh/lib/python3.9/site-packages/torchvision/transforms/transforms.py:329: UserWarning: Argument 'interpolation' of type int is deprecated since 0.13 and will be removed in 0.15. Please use InterpolationMode enum.
  warnings.warn(
09/17/2026 03:32:21 - INFO - models.modeling - load_pretrained: resized variant: torch.Size([1, 197, 768]) to torch.Size([1, 785, 768])
09/17/2026 03:32:22 - INFO - __main__ - Training parameters Namespace(data_root='/home/savo_shen/data_crops/nabirds/raw', name='nabirds_rand25', output_dir='output', pretrained='/home/savo_shen/Programs/FAL-ViT-main-wyh/imagenet21k_ViT-B_16.npz', img_size=448, select='random', keep=0.25, sel_img=448, train_batch_size=16, grad_accum=1, eval_batch_size=64, learning_rate=0.03, weight_decay=0.0, num_steps=10000, warmup_steps=500, eval_every=1000, max_grad_norm=1.0, num_workers=8, seed=42)
09/17/2026 03:32:22 - INFO - __main__ - classes=555 train=23929 test=24633  tokens kept 196 / 784
load_pretrained: grid-size from 14 to 28
09/17/2026 03:41:54 - INFO - __main__ - Training (4200 / 10000 Steps) (loss=1.2147) lr=2.01e-02 572s
09/17/2026 03:42:01 - INFO - __main__ - Training (4300 / 10000 Steps) (loss=0.4098) lr=1.96e-02 579s
09/17/2026 03:42:08 - INFO - __main__ - Training (4400 / 10000 Steps) (loss=1.2863) lr=1.92e-02 586s
09/17/2026 03:42:15 - INFO - __main__ - Training (4500 / 10000 Steps) (loss=0.5503) lr=1.87e-02 593s
09/17/2026 03:42:22 - INFO - __main__ - Training (4600 / 10000 Steps) (loss=0.6022) lr=1.82e-02 600s
09/17/2026 03:42:29 - INFO - __main__ - Training (4700 / 10000 Steps) (loss=1.1198) lr=1.77e-02 607s
09/17/2026 03:42:37 - INFO - __main__ - Training (4800 / 10000 Steps) (loss=1.2480) lr=1.72e-02 614s
09/17/2026 03:42:44 - INFO - __main__ - Training (4900 / 10000 Steps) (loss=0.8132) lr=1.67e-02 621s
09/17/2026 03:42:51 - INFO - __main__ - Training (5000 / 10000 Steps) (loss=1.0810) lr=1.62e-02 628s
09/17/2026 03:43:57 - INFO - __main__ - Validation Results step 5000: Accuracy 0.70479 (best 0.70479)
09/17/2026 03:44:04 - INFO - __main__ - Training (5100 / 10000 Steps) (loss=1.1732) lr=1.57e-02 701s
09/17/2026 03:44:11 - INFO - __main__ - Training (5200 / 10000 Steps) (loss=0.7537) lr=1.52e-02 708s
09/17/2026 03:44:18 - INFO - __main__ - Training (5300 / 10000 Steps) (loss=0.9337) lr=1.48e-02 715s
09/17/2026 03:44:25 - INFO - __main__ - Training (5400 / 10000 Steps) (loss=0.9623) lr=1.43e-02 722s
09/17/2026 03:44:32 - INFO - __main__ - Training (5500 / 10000 Steps) (loss=0.8231) lr=1.38e-02 729s
09/17/2026 03:44:39 - INFO - __main__ - Training (5600 / 10000 Steps) (loss=0.8006) lr=1.33e-02 737s
09/17/2026 03:44:46 - INFO - __main__ - Training (5700 / 10000 Steps) (loss=0.8683) lr=1.28e-02 744s
09/17/2026 03:44:53 - INFO - __main__ - Training (5800 / 10000 Steps) (loss=0.9231) lr=1.23e-02 751s
09/17/2026 03:45:00 - INFO - __main__ - Training (5900 / 10000 Steps) (loss=0.6870) lr=1.18e-02 758s
09/17/2026 03:45:08 - INFO - __main__ - Training (6000 / 10000 Steps) (loss=0.4588) lr=1.13e-02 766s
09/17/2026 03:46:17 - INFO - __main__ - Validation Results step 6000: Accuracy 0.72314 (best 0.72314)
09/17/2026 03:46:24 - INFO - __main__ - Training (6100 / 10000 Steps) (loss=0.5676) lr=1.08e-02 842s
09/17/2026 03:46:31 - INFO - __main__ - Training (6200 / 10000 Steps) (loss=0.5423) lr=1.04e-02 849s
09/17/2026 03:46:38 - INFO - __main__ - Training (6300 / 10000 Steps) (loss=0.7621) lr=9.90e-03 856s
09/17/2026 03:46:45 - INFO - __main__ - Training (6400 / 10000 Steps) (loss=0.4762) lr=9.43e-03 863s
09/17/2026 03:46:52 - INFO - __main__ - Training (6500 / 10000 Steps) (loss=0.5423) lr=8.97e-03 870s
09/17/2026 03:46:59 - INFO - __main__ - Training (6600 / 10000 Steps) (loss=0.7628) lr=8.52e-03 877s
09/17/2026 03:47:06 - INFO - __main__ - Training (6700 / 10000 Steps) (loss=1.9933) lr=8.08e-03 884s
09/17/2026 03:47:13 - INFO - __main__ - Training (6800 / 10000 Steps) (loss=1.0563) lr=7.64e-03 891s
09/17/2026 03:47:20 - INFO - __main__ - Training (6900 / 10000 Steps) (loss=0.6210) lr=7.22e-03 898s
09/17/2026 03:47:27 - INFO - __main__ - Training (7000 / 10000 Steps) (loss=1.0351) lr=6.80e-03 905s
09/17/2026 03:48:40 - INFO - __main__ - Validation Results step 7000: Accuracy 0.74591 (best 0.74591)
09/17/2026 03:48:47 - INFO - __main__ - Training (7100 / 10000 Steps) (loss=0.8751) lr=6.39e-03 985s
09/17/2026 03:48:54 - INFO - __main__ - Training (7200 / 10000 Steps) (loss=0.7872) lr=5.98e-03 992s
09/17/2026 03:49:01 - INFO - __main__ - Training (7300 / 10000 Steps) (loss=0.5199) lr=5.59e-03 999s
09/17/2026 03:49:08 - INFO - __main__ - Training (7400 / 10000 Steps) (loss=0.5818) lr=5.21e-03 1006s
09/17/2026 03:49:16 - INFO - __main__ - Training (7500 / 10000 Steps) (loss=0.5477) lr=4.84e-03 1014s
09/17/2026 03:49:23 - INFO - __main__ - Training (7600 / 10000 Steps) (loss=0.5507) lr=4.48e-03 1021s
09/17/2026 03:49:30 - INFO - __main__ - Training (7700 / 10000 Steps) (loss=0.3439) lr=4.13e-03 1028s
09/17/2026 03:49:37 - INFO - __main__ - Training (7800 / 10000 Steps) (loss=0.5105) lr=3.80e-03 1035s
09/17/2026 03:49:45 - INFO - __main__ - Training (7900 / 10000 Steps) (loss=0.4082) lr=3.47e-03 1042s
09/17/2026 03:49:52 - INFO - __main__ - Training (8000 / 10000 Steps) (loss=0.7303) lr=3.16e-03 1049s
09/17/2026 03:50:54 - INFO - __main__ - Validation Results step 8000: Accuracy 0.75711 (best 0.75711)
09/17/2026 03:51:01 - INFO - __main__ - Training (8100 / 10000 Steps) (loss=0.7599) lr=2.86e-03 1119s
09/17/2026 03:51:08 - INFO - __main__ - Training (8200 / 10000 Steps) (loss=0.7475) lr=2.58e-03 1126s
09/17/2026 03:51:15 - INFO - __main__ - Training (8300 / 10000 Steps) (loss=0.3892) lr=2.31e-03 1133s
09/17/2026 03:51:23 - INFO - __main__ - Training (8400 / 10000 Steps) (loss=0.3171) lr=2.05e-03 1140s
09/17/2026 03:51:30 - INFO - __main__ - Training (8500 / 10000 Steps) (loss=0.5714) lr=1.81e-03 1147s
09/17/2026 03:51:38 - INFO - __main__ - Training (8600 / 10000 Steps) (loss=0.6338) lr=1.58e-03 1155s
09/17/2026 03:51:45 - INFO - __main__ - Training (8700 / 10000 Steps) (loss=0.3111) lr=1.36e-03 1163s
09/17/2026 03:51:52 - INFO - __main__ - Training (8800 / 10000 Steps) (loss=0.5709) lr=1.17e-03 1170s
09/17/2026 03:51:59 - INFO - __main__ - Training (8900 / 10000 Steps) (loss=0.4905) lr=9.82e-04 1177s
09/17/2026 03:52:07 - INFO - __main__ - Training (9000 / 10000 Steps) (loss=0.7829) lr=8.13e-04 1184s
09/17/2026 03:53:11 - INFO - __main__ - Validation Results step 9000: Accuracy 0.76389 (best 0.76389)
09/17/2026 03:53:18 - INFO - __main__ - Training (9100 / 10000 Steps) (loss=0.4922) lr=6.59e-04 1256s
09/17/2026 03:53:25 - INFO - __main__ - Training (9200 / 10000 Steps) (loss=0.7722) lr=5.22e-04 1263s
09/17/2026 03:53:32 - INFO - __main__ - Training (9300 / 10000 Steps) (loss=0.6907) lr=4.00e-04 1270s
09/17/2026 03:53:40 - INFO - __main__ - Training (9400 / 10000 Steps) (loss=0.4019) lr=2.94e-04 1277s
09/17/2026 03:53:47 - INFO - __main__ - Training (9500 / 10000 Steps) (loss=0.9898) lr=2.05e-04 1284s
09/17/2026 03:53:54 - INFO - __main__ - Training (9600 / 10000 Steps) (loss=0.5746) lr=1.31e-04 1291s
09/17/2026 03:54:01 - INFO - __main__ - Training (9700 / 10000 Steps) (loss=0.6354) lr=7.38e-05 1298s
09/17/2026 03:54:09 - INFO - __main__ - Training (9800 / 10000 Steps) (loss=0.3049) lr=3.28e-05 1306s
09/17/2026 03:54:16 - INFO - __main__ - Training (9900 / 10000 Steps) (loss=0.9023) lr=8.20e-06 1313s
09/17/2026 03:54:23 - INFO - __main__ - Training (10000 / 10000 Steps) (loss=0.8181) lr=0.00e+00 1320s
09/17/2026 03:55:35 - INFO - __main__ - Validation Results step 10000: Accuracy 0.76430 (best 0.76430)
09/17/2026 03:55:35 - INFO - __main__ - Best Accuracy: 	0.764300
09/17/2026 03:55:35 - INFO - __main__ - End Training!
